LastName,FirstName,startMonth,startDay,startYear,endMonth,endDay,endYear,annualSalary,DepartmentTitle,emailAddress
Williams,Hank,9,12,1976,0,0,0,120000,TE,willaimshank@myemil.com
Johnson,Mary,7,15,1992,1,3,2020,78989,MD,johnson.mary@myemail.com
Allison,Terry,8,17,1980,2,16,2016,45878.89,eg,allisonterry@myemail.com
Harrison,Mody,1,1,2010,0,0,0,98090.98,AC,harrmody@myemail.com
Bonds,Betty,5,12,1990,9,12,2019,32398.89,TT,Bondsbety@myemail.com
Charlie,Reed,4,3,1995,12,11,2018,123455.9,Rd,charlieReed@myemail.com
Omannd,Nelson,9,,1987,12,11,2024,34398.89,QC,Omanndnelson@myemail.com
Kelly,Polk,8,1,2020,0,0,0,39399.98,ST,kelly.polk@myemail.com
Mack,Ron,9,1,2017,2,30,1998,29828.98,Md,mack_ron@myemail.com
Omannd,Nelson,9,23,1987,12,11,2024,34398.89,QC,Omanndnelson@myemail.com
Zack,Nelson,9,14,1997,5,5,2017,18892.9,TT,zack_ron@myemail.com
Williams,Hank,9,12,1976,0,0,0,120000,TE,willaimshank@myemil.com
Thomas,Jerry,13,14,1997,0,0,1987,111909.89,YY,thomasjerry@myemail.com
Jones,Larry,1,1,2005,6,1,2009,56000.9,te,joneslarry@myemail.com
Turner,Ted,5,,2000,5,5,2021,100000.34,qc,turner_ted@myemail.com
Mark,Spitz,8,23,2000,2,23,2021,90000,MD,spitz_mark@myemail.com
Kelly,Roman,8,22,2000,0,0,0,10000,ST,kelly_r@myemail.com
Uless,Shep,8,21,2000,2,23,2021,99999,RD,uless_shep@myemail.com
Tinny,Moe,8,20,2000,0,0,0,-10000,TE,tinny_moe@myemail.com
Jeffery,Xi,8,24,2000,2,23,2021,1999.99,Te,jeffery_xi@myemail.com
Larry,Sams,8,25,2000,2,24,2021,200000,TE,larry_sams@myemail.com
Lex,Lugar,8,26,2000,2,23,2021,40000,ST,lex_lugar@myemail.com
Marti,Max,8,28,1991,2,23,2001,50000,rd,marti_max@myemail.com
Kim,Kim,2,29,1992,2,29,2000,68909,TE,kim_kim@myemail.com
Lonnie,Lomack,2,29,1990,2,20,2001,90950.9,TE,lonnie_lomac@myemail.com
Old,Max,4,31,1967,3,31,2009,903400900,TE,old_max@myemail.com
